,Żułowska
445,Głębinowa
446,Głęboka
447,Głogowa
448,Głogowiec
449,Głogowska
450,Górna
451,Górników
452,Górska
453,Gabriela Narutowicza
454,Gacki
455,Gaik
456,Gajówka
457,Gajowa
458,Galaktyczna
459,Garbarska
460,Garncarska
461,Gęsia
462,Gazowa
463,Gdańska
464,Gdowska
465,Gdyńska
466,Gen. Leopolda Okulickiego
467,Generała Augusta Fieldorfa-Nila
468,Generała Bernarda Monda
469,Generała Bolesława Roi
470,Generała Franciszka Kleeberga
471,Generała Franciszka Paszkowskiego
472,Generała Ignacego Prądzyńskiego
473,Generała Józefa Bema
474,Generała Józefa Chłopickiego
475,Generała Józefa Olszyny-Wilczyńskiego
476,Generała Jakuba Jasińskiego
477,Generała Jana Karcza
478,Generała Juliana Filipowicza
479,Generała Kazimierza Sosnkowskiego
480,Generała Kiwerskiego
481,Generała Mariana Kukiela
482,Generała Michała Karaszewicza-Tokarzewskiego
483,Generała Romana Sołtyka
484,Generała Tadeusza Kutrzeby
485,Generała Tadeusza Pełczyńskiego
486,Geodetów
487,Geologów
488,Gerberowa
489,Gilowa
490,Gipsowa
491,Gliniana
492,Glinik
493,Gminna
494,Gnieźnieńska
495,Gołaśka
496,Gołębia
497,Gołębia ulica
498,Gościnna
499,Goździkowa
500,Golikówka
501,Golkowicka
502,Gontyna
503,Goplana
504,Goryczkowa
505,Gospodarska
506,Grąby
507,Grażyny
508,Grażyny Bacewiczówny
509,Grabówki
510,Grabowa
511,Gradowa
512,Graniczna
513,Granitowa
514,Grębałowska
515,Grawerska
516,Grenadierów
517,Grochowa
518,Grochowska
519,Grodzisko
520,Grodzka
521,Gromady Grudziąż
522,Gromadzka
523,Gronostajowa
524,Gronowa
525,Groszkowa
526,Grota-Roweckiego
527,Grunwaldzka
528,Gryczana
529,Grzegórzecka
530,Grzegorza Korzeniaka
531,Grzegorza z Sanoka
532,Grzybki
533,Gumniska
534,Gustawa Daniłowskiego
535,Gustawa Ehrenberga
536,Gustawa Herlinga-Grudzińskiego
537,Gustawa Morcinka
538,Gustawa Pokrzywki
539,Gwarecka
540,Gwarna
541,Gwieździsta
542,Gzymsików
543,Habina
544,Halicka
545,Haliny Cieślińskiej-Brzeskiej
546,Halki
547,Hamernia
548,Hanny Mortkowicz-Olczakowej
549,Hansa Christiana Andersena
550,Harcerska
551,Harcerzy
552,Harcmistrza Stanisława Millana
553,Harcmistrza Stanisława Orszy-Broniewskiego
554,Harnasiów
555,Hektary
556,Helclów
557,Heleny
558,Heleny Chanieckiej
559,Heleny i Leona Patynów
560,Heleny Marusarzówny
561,Heleny Modrzejewskiej
562,Heligundy
563,Henryka Barycza
564,Henryka Brodatego
565,Henryka Czeczotta
566,Henryka Flame
567,Henryka Hoyera
568,Henryka Kułakowskiego
569,Henryka Müncha
570,Henryka Niewodniczańskiego
571,Henryka Pachońskiego
572,Henryka Reymana
573,Henryka Rodakowskiego
574,Henryka Rowida
575,Henryka Siemiradzkiego
576,Henryka Sienkiewicza
577,Herbowa
578,Hetmańska
579,Hiacyntowa
580,Hieronima Pinocci
581,Hieronima Wietora
582,Hołdu Pruskiego
583,Hoża
584,Hubalczyków
585,Huculska
586,Hufcowa
587,Hugona Kołłątaja
588,Husarska
589,Iłowa
590,Ignacego Chrzanowskiego
591,Ignacego Domeyki
592,Ignacego Grabczaka
593,Ignacego Krasickiego
594,Ignacego Mościckiego
595,Ignacego Paderewskiego
596,Igołomska
597,Igrców
598,Imbramowska
599,Imielna
600,Inżyniera Adama Bielańskiego
601,Inicjatywy Lokalnej
602,Insurekcji Kościuszkowskiej
603,Ireny Kosmowskiej
604,Irysowa
605,Isep
606,Ivo Andricia
607,Iwona Odrowąża
608,Iwonicka
609,Izaaka
610,Izydora Kopernickiego
611,Izydora Stella-Sawickiego
612,Józefa
613,Józefa Becka
614,Józefa Bellerta
615,Józefa Brodowicza
616,Józefa Chełmońskiego
617,Józefa Chełmońskiego-Deptak
618,Józefa Czajkowskiego
619,Józefa Dwernickiego
620,Józefa Elsnera
621,Józefa Friedleina
622,Józefa Gałęzowskiego
623,Józefa Herzoga
624,Józefa i Agaty Gwizdałów
625,Józefa i Floriana Sawiczewskich
626,Józefa Korzeniowskiego
627,Józefa Kostrzewskiego
628,Józefa Krasnowolskiego
629,Józefa Kraszewskiego
630,Józefa Kustronia
631,Józefa Mackiewicza
632,Józefa Marcika
633,Józefa Mehoffera
634,Józefa Montwiłła-Mireckiego
635,Józefa Morozewicza
636,Józefa Narzymskiego
637,Józefa Ostafina
638,Józefa Pankiewicza
639,Józefa Piłsudskiego
640,Józefa Rostafińskiego
641,Józefa Rzebika
642,Józefa Sarego
643,Józefa Sawy-Calińskiego
644,Józefa Sowińskiego
645,Józefa Szujskiego
646,Józefińska
647,Józefitów
648,Jałowcowa
649,Jaśminowa
650,Jabłonkowska
651,Jabłonna
652,Jabłonowskich
653,Jacka Jezierskiego
654,Jacka Kluszewskiego
655,Jacka Malczewskiego
656,Jadźwingów
657,Jadwigi Majówny
658,Jadwigi z Łobzowa
659,Jagiełka
660,Jagiellońska
661,Jagienki
662,Jaglana
663,Jagodowa
664,Jakuba
665,Jakuba Majora
666,Jana Aleksandra Gorczyna
667,Jana Brożka
668,Jana Brzechwy
669,Jana Bułhaka
670,Jana Buszka
671,Jana Chryzostoma Paska
672,Jana Długosza
673,Jana Dekerta
674,Jana Gajocha
675,Jana Grzecha
676,Jana Gumowskiego
677,Jana Gutenberga
678,Jana Hallera
679,Jana Henryka Dąbrowskiego
680,Jana Heweliusza
681,Jana Janowskiego
682,Jana Kaczary
683,Jana Kantego Andrusikiewicza
684,Jana Kantego Przyzby
685,Jana Kasprowicza
686,Jana Kazimierza
687,Jana Kiepury
688,Jana Kilińskiego
689,Jana Kluka
690,Jana Kochanowskiego
691,Jana Kozietulskiego
692,Jana Kremskiego
693,Jana Kurczaba
694,Jana Lechonia
695,Jana Maklakiewicza
696,Jana Miodońskiego
697,Jana Mosdorfa
698,Jana Muszyńskiego
699,Jana Nowaka
700,Jana Olbrachta
701,Jana Ostroroga
702,Jana Palacha
703,Jana Pawła II
704,Jana Pietrusińskiego
705,Jana Piwnika “Ponurego”
706,Jana Sabały
707,Jana Sas-Zubrzyckiego
708,Jana Skrzetuskiego
709,Jana Smolenia
710,Jana Sobieskiego
711,Jana Stanisława Bystronia
712,Jana Stanisławskiego
713,Jana Szwai
714,Jana XXIII
715,Jana Zygmunta Robla
716,Janasówka
717,Janiny Porazińskiej
718,Janka Szumca
719,Janosika
720,Janowa Wola
721,Jantarowa
722,Janusza Korczaka
723,Janusza Kusocińskiego
724,Janusza Meissnera
725,Jar
726,Jarosława Dolińskiego
727,Jarosława Iwaszkiewicza
728,Jarosławska
729,Jarzębiny
730,Jarzynowa
731,Jasełkowa
732,Jasia i Małgosi
733,Jasielska
734,Jaskółcza
735,Jaskrowa
736,Jasna
737,Jasnogórska
738,Jastrzębia
739,Jęczmienna
740,Jaworowa
741,Jaxy Gryfity
742,Jazowa
743,Jeżów
744,Jeżynowa
745,Jeździecka
746,Jeleniogórska
747,Jeleniowa
748,Jemiołowa
749,Jemiołuszek
750,Jerozolimska
751,Jerzego Bajana
752,Jerzego Dobrzyckiego
753,Jerzego Fedkowicza
754,Jerzego Giedroycia
755,Jerzego Harasymowicza
756,Jerzego Jurowicza
757,Jerzego Korohody
758,Jerzego Kuryłowicza
759,Jerzego Lande
760,Jerzego Potrzebowskiego
761,Jerzego Samuela Bandtkiego
762,Jerzego Smoleńskiego
763,Jesienna
764,Jesionowa
765,Jeziorany
766,Jeziorko
767,Jezuitów
768,Jodłowa
769,Jontkowa Górka
770,Jordanowska
771,Joselewicza
772,Josepha Conrada
773,Jubileuszowa
774,Jugowicka
775,Juliana Dunajewskiego
776,Juliana Fałata
777,Juliana Goslara
778,Juliana Konstantego Ordona
779,Juliana Przybosia
780,Juliana Ursyna Niemcewicza
781,Julii Nenko
782,Juliusza Kadena-Bandrowskiego
783,Juliusza Kleinera
784,Juliusza Lea
785,Juliusza Osterwy
786,Junacka
787,Jurajska
788,Juranda ze Spychowa
